seed,up_to_label,learning_rate,hidden,batch_size,epochs,train_error_rate,test_error_rate
1,10,0.001,(),64,1,0.1820166666666666,0.1895
1,10,0.001,(),64,2,0.16285,0.1739
1,10,0.001,(),64,3,0.1551333333333333,0.1681
1,10,0.001,(),64,4,0.1492166666666666,0.1654
1,10,0.001,(),64,5,0.1466333333333333,0.161
1,10,0.001,(),64,6,0.1477333333333333,0.1642
1,10,0.001,(),64,7,0.1416666666666666,0.1589
1,10,0.001,(),64,8,0.13865,0.1583
1,10,0.001,(),64,9,0.1376333333333333,0.1551
1,10,0.001,(),64,10,0.13555,0.1549
1,10,0.001,(),64,11,0.1336,0.1526
1,10,0.001,(),64,12,0.1342666666666666,0.1562
1,10,0.001,(),64,13,0.1325,0.1515
1,10,0.001,(),64,14,0.1339166666666666,0.1545
1,10,0.001,(),64,15,0.1294833333333333,0.1503
1,10,0.001,(),64,16,0.1290166666666666,0.1497
1,10,0.001,(),64,17,0.1279333333333333,0.1506
1,10,0.001,(),64,18,0.12715,0.1495
1,10,0.001,(),64,19,0.1279,0.1503
1,10,0.001,(),64,20,0.1254,0.1516
2,10,0.001,(),64,1,0.1815166666666666,0.1927
2,10,0.001,(),64,2,0.1678333333333333,0.1781
2,10,0.001,(),64,3,0.15345,0.1661
2,10,0.001,(),64,4,0.1500166666666666,0.1642
2,10,0.001,(),64,5,0.14555,0.1608
2,10,0.001,(),64,6,0.14335,0.1578
2,10,0.001,(),64,7,0.14025,0.1577
2,10,0.001,(),64,8,0.1393,0.1581
2,10,0.001,(),64,9,0.1373666666666666,0.155
2,10,0.001,(),64,10,0.13635,0.1536
2,10,0.001,(),64,11,0.1337833333333333,0.1527
2,10,0.001,(),64,12,0.1322833333333333,0.1513
2,10,0.001,(),64,13,0.1312833333333333,0.1515
2,10,0.001,(),64,14,0.1306833333333333,0.1511
2,10,0.001,(),64,15,0.1303666666666666,0.1516
2,10,0.001,(),64,16,0.1312,0.1548
2,10,0.001,(),64,17,0.13025,0.1508
2,10,0.001,(),64,18,0.12865,0.1514
2,10,0.001,(),64,19,0.1323833333333333,0.1547
2,10,0.001,(),64,20,0.1255333333333333,0.1491
10,10,0.001,(),64,1,0.23156666666666667,0.2409
10,10,0.001,(),64,2,0.21796666666666667,0.2271
10,10,0.001,(),64,3,0.21348333333333333,0.2238
10,10,0.001,(),64,4,0.20588333333333333,0.2178
10,10,0.001,(),64,5,0.20458333333333334,0.2149
10,10,0.001,(),64,6,0.20368333333333333,0.2154
10,10,0.001,(),64,7,0.20015,0.2127
10,10,0.001,(),64,8,0.2004,0.214
10,10,0.001,(),64,9,0.19711666666666666,0.2101
10,10,0.001,(),64,10,0.1961,0.2094
10,10,0.001,(),64,11,0.19696666666666668,0.2114
10,10,0.001,(),64,12,0.19465,0.2072
10,10,0.001,(),64,13,0.1926,0.2062
10,10,0.001,(),64,14,0.19388333333333332,0.208
10,10,0.001,(),64,15,0.19121666666666667,0.2037
10,10,0.001,(),64,16,0.19198333333333334,0.2071
10,10,0.001,(),64,17,0.19015,0.2049
10,10,0.001,(),64,18,0.18996666666666667,0.204
10,10,0.001,(),64,19,0.1893,0.2057
10,10,0.001,(),64,20,0.1895,0.2055
