seed,up_to_label,learning_rate,hidden,batch_size,epochs,train_error_rate,test_error_rate
1,2,1,(),64,1,0.0052901697591788,0.0018912529550827
1,2,1,(),64,1,0.0052901697591788,0.0018912529550827
1,2,1,(),64,2,0.0064745361231741,0.0037825059101654
1,2,1,(),64,2,0.0064745361231741,0.0037825059101654
1,2,1,(),128,1,0.0057639163047769,0.0042553191489361
1,2,1,(),128,1,0.0057639163047769,0.0042553191489361
1,2,1,(),128,2,0.0044216344255823,0.0033096926713947
1,2,1,(),128,2,0.0044216344255823,0.0033096926713947
1,2,1,"(2,)",64,1,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",64,1,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",64,2,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",64,2,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",128,1,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",128,1,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",128,2,0.4676667982629293,0.4633569739952718
1,2,1,"(2,)",128,2,0.4676667982629293,0.4633569739952718
