seed,epochs,lr,batch_size,hidden,train_error_rate,test_error_rate
1,1,0.001,32,"(1,)",0.7549166666666667,0.7556
1,1,0.001,32,(),0.0917333333333333,0.0866
1,1,0.001,32,"(10, 10)",0.2657833333333333,0.2616
1,1,0.001,32,"(10,)",0.16755,0.1645
1,1,0.001,64,"(1,)",0.7263,0.7275
1,1,0.001,64,(),0.0994,0.0933
1,1,0.001,64,"(10, 10)",0.1840666666666666,0.1811
1,1,0.001,64,"(10,)",0.1578666666666666,0.1576
1,1,0.001,128,"(1,)",0.71805,0.7187
1,1,0.001,128,(),0.0884833333333333,0.0853
1,1,0.001,128,"(10, 10)",0.1733666666666666,0.1738
1,1,0.001,128,"(10,)",0.1545,0.1557
1,1,0.001,256,"(1,)",0.7180666666666666,0.7181
1,1,0.001,256,(),0.0832833333333333,0.0805
1,1,0.001,256,"(10, 10)",0.1672666666666666,0.1687
1,1,0.001,256,"(10,)",0.1523,0.1547
1,1,0.001,512,"(1,)",0.7154333333333334,0.7146
1,1,0.001,512,(),0.0811833333333333,0.0791
1,1,0.001,512,"(10, 10)",0.1461833333333333,0.151
1,1,0.001,512,"(10,)",0.15105,0.1522
1,2,0.001,32,"(1,)",0.7112666666666667,0.7078
1,2,0.001,32,(),0.0757166666666666,0.0742
1,2,0.001,32,"(10, 10)",0.09735,0.1018
1,2,0.001,32,"(10,)",0.1488333333333333,0.1513
1,2,0.001,64,"(1,)",0.7098666666666666,0.7076
1,2,0.001,64,(),0.0747,0.0753
1,2,0.001,64,"(10, 10)",0.0846333333333333,0.0926
1,2,0.001,64,"(10,)",0.1443666666666666,0.1495
1,2,0.001,128,"(1,)",0.6986166666666667,0.6966
1,2,0.001,128,(),0.07115,0.0733
1,2,0.001,128,"(10, 10)",0.0785333333333333,0.089
1,2,0.001,128,"(10,)",0.1421666666666666,0.149
1,2,0.001,256,"(1,)",0.6964,0.695
1,2,0.001,256,(),0.06925,0.0715
1,2,0.001,256,"(10, 10)",0.0765666666666666,0.0866
1,2,0.001,256,"(10,)",0.14065,0.1484
1,2,0.001,512,"(1,)",0.6924833333333333,0.6903
1,2,0.001,512,(),0.0683166666666666,0.0696
1,2,0.001,512,"(10, 10)",0.0732666666666666,0.0854
1,2,0.001,512,"(10,)",0.13995,0.1476
1,3,0.001,32,"(1,)",0.6844333333333333,0.6794
1,3,0.001,32,(),0.0757666666666666,0.0767
1,3,0.001,32,"(10, 10)",0.0689333333333333,0.0805
1,3,0.001,32,"(10,)",0.1398,0.1485
1,3,0.001,64,"(1,)",0.68355,0.6819
1,3,0.001,64,(),0.0661666666666666,0.0694
1,3,0.001,64,"(10, 10)",0.06435,0.0769
1,3,0.001,64,"(10,)",0.13685,0.1454
1,3,0.001,128,"(1,)",0.67965,0.6764
1,3,0.001,128,(),0.06355,0.0679
1,3,0.001,128,"(10, 10)",0.0608333333333333,0.0755
1,3,0.001,128,"(10,)",0.1352833333333333,0.1456
1,3,0.001,256,"(1,)",0.67945,0.6766
1,3,0.001,256,(),0.0620666666666666,0.0678
1,3,0.001,256,"(10, 10)",0.0586666666666666,0.0744
1,3,0.001,256,"(10,)",0.1342666666666666,0.1446
1,3,0.001,512,"(1,)",0.6796166666666666,0.6767
1,3,0.001,512,(),0.0611833333333333,0.0684
1,3,0.001,512,"(10, 10)",0.0574,0.0746
1,3,0.001,512,"(10,)",0.1333,0.1455
1,4,0.001,32,"(1,)",0.6799166666666666,0.678
1,4,0.001,32,(),0.0601166666666666,0.0684
1,4,0.001,32,"(10, 10)",0.0571333333333333,0.0725
1,4,0.001,32,"(10,)",0.13265,0.145
1,4,0.001,64,"(1,)",0.6766666666666666,0.6754
1,4,0.001,64,(),0.0571666666666666,0.0676
1,4,0.001,64,"(10, 10)",0.0545333333333333,0.0715
1,4,0.001,64,"(10,)",0.1318666666666666,0.145
1,4,0.001,128,"(1,)",0.6767833333333333,0.6762
1,4,0.001,128,(),0.05685,0.0659
1,4,0.001,128,"(10, 10)",0.0519833333333333,0.0729
1,4,0.001,128,"(10,)",0.1302833333333333,0.1449
1,4,0.001,256,"(1,)",0.6757333333333333,0.6757
1,4,0.001,256,(),0.0557,0.0661
1,4,0.001,256,"(10, 10)",0.0504,0.0713
1,4,0.001,256,"(10,)",0.1293666666666666,0.1439
1,4,0.001,512,"(1,)",0.6753,0.6753
1,4,0.001,512,(),0.05495,0.066
1,4,0.001,512,"(10, 10)",0.0491,0.0705
1,4,0.001,512,"(10,)",0.1288,0.1447
1,5,0.001,32,"(1,)",0.6750166666666667,0.6749
1,5,0.001,32,(),0.0545333333333333,0.0671
1,5,0.001,32,"(10, 10)",0.0509,0.0706
1,5,0.001,32,"(10,)",0.12945,0.1432
1,5,0.001,64,"(1,)",0.6753833333333333,0.6749
1,5,0.001,64,(),0.0531333333333333,0.0668
1,5,0.001,64,"(10, 10)",0.0481333333333333,0.0702
1,5,0.001,64,"(10,)",0.1277833333333333,0.1459
1,5,0.001,128,"(1,)",0.6740333333333334,0.6748
1,5,0.001,128,(),0.0523333333333333,0.0658
1,5,0.001,128,"(10, 10)",0.0468333333333333,0.0706
1,5,0.001,128,"(10,)",0.1269166666666666,0.1457
1,5,0.001,256,"(1,)",0.6738833333333333,0.6747
1,5,0.001,256,(),0.0517666666666666,0.0663
1,5,0.001,256,"(10, 10)",0.0456666666666666,0.0715
1,5,0.001,256,"(10,)",0.12615,0.1449
1,5,0.001,512,"(1,)",0.6736333333333333,0.6747
1,5,0.001,512,(),0.0509833333333333,0.0666
1,5,0.001,512,"(10, 10)",0.04445,0.0708
1,5,0.001,512,"(10,)",0.12615,0.1444
1,6,0.001,32,"(1,)",0.6744,0.6759
1,6,0.001,32,(),0.0680666666666666,0.0717
1,6,0.001,32,"(10, 10)",0.0475166666666666,0.0699
1,6,0.001,32,"(10,)",0.1273333333333333,0.1446
1,6,0.001,64,"(1,)",0.6748333333333333,0.676
1,6,0.001,64,(),0.0628833333333333,0.0688
1,6,0.001,64,"(10, 10)",0.0454,0.0714
1,6,0.001,64,"(10,)",0.1264333333333333,0.1446
1,6,0.001,128,"(1,)",0.67345,0.6744
1,6,0.001,128,(),0.0598166666666666,0.0677
1,6,0.001,128,"(10, 10)",0.0434,0.0705
1,6,0.001,128,"(10,)",0.1248833333333333,0.1451
1,6,0.001,256,"(1,)",0.67355,0.6744
1,6,0.001,256,(),0.0584833333333333,0.0672
1,6,0.001,256,"(10, 10)",0.0423833333333333,0.0718
1,6,0.001,256,"(10,)",0.1243333333333333,0.1447
1,6,0.001,512,"(1,)",0.67285,0.6743
1,6,0.001,512,(),0.0574833333333333,0.0667
1,6,0.001,512,"(10, 10)",0.0418666666666666,0.0701
1,6,0.001,512,"(10,)",0.1239833333333333,0.1444
1,7,0.001,32,"(1,)",0.6742166666666667,0.6765
1,7,0.001,32,(),0.0553666666666666,0.0671
1,7,0.001,32,"(10, 10)",0.04555,0.0716
1,7,0.001,32,"(10,)",0.1255666666666666,0.1454
1,7,0.001,64,"(1,)",0.6736166666666666,0.6764
1,7,0.001,64,(),0.0535,0.0661
1,7,0.001,64,"(10, 10)",0.0426666666666666,0.0704
1,7,0.001,64,"(10,)",0.1239166666666666,0.1455
1,7,0.001,128,"(1,)",0.6721,0.6757
1,7,0.001,128,(),0.05285,0.0669
1,7,0.001,128,"(10, 10)",0.0407833333333333,0.07
1,7,0.001,128,"(10,)",0.1232166666666666,0.1445
1,7,0.001,256,"(1,)",0.6719833333333334,0.675
1,7,0.001,256,(),0.0515833333333333,0.0663
1,7,0.001,256,"(10, 10)",0.0401833333333333,0.071
1,7,0.001,256,"(10,)",0.1226833333333333,0.1443
